x	y
1.0	7.077535492740478
2.0	1.98229013636006
3.0	13.311475836041092
4.0	6.992999319010643
5.0	4.512571708523689
6.0	16.988630595564814
7.0	23.529327124381123
8.0	25.28149554348756
9.0	26.76271954559157
10.0	28.446957072387523
11.0	26.376314688568925
12.0	27.389089161531178
13.0	28.29964185162942
14.0	40.902915577683515
15.0	30.85579579670414
16.0	39.37801627079035
17.0	40.01259301954642
18.0	35.26438325732482
19.0	38.25672511632443
20.0	51.32330156822505
21.0	57.172859019649984
22.0	49.150178381539554
23.0	61.198026939924326
24.0	54.43922682142447
25.0	52.59036519773182
26.0	59.030641302293766
27.0	68.3431322198549
28.0	59.50693536038452
29.0	72.59577662020074
30.0	76.51092856477571
31.0	72.6980878978975
32.0	87.95881546821832
33.0	84.26166573994043
34.0	81.7402704987458
35.0	81.68999180181241
36.0	78.58481213270473
37.0	89.18632389077956
38.0	93.62939758834766
39.0	104.37883118051641
40.0	99.04883435371559
41.0	101.71215583062255
42.0	98.09532272930508
43.0	106.57663538508146
44.0	109.47914776644166
45.0	112.92226333488377
46.0	118.8688016795691
47.0	109.62547523020643
48.0	112.92315556613592
49.0	127.15322918634013
50.0	126.97966111521698
51.0	134.60995941208657
52.0	117.65621803158636
53.0	133.49687551332244
54.0	128.90794463210457
55.0	133.79536782478726
56.0	145.31169194728068
57.0	138.92914893705282
58.0	154.27365710257223
59.0	155.1229956315877
60.0	141.0312321660665
61.0	149.3623507866376
62.0	155.6503815024338
63.0	166.12376797266813
64.0	156.49394949920654
65.0	163.15954345645406
66.0	156.48834644110227
67.0	156.97122708126648
68.0	173.67560964216074
69.0	169.14701024670438
70.0	174.24517014278265
71.0	176.5005933523469
72.0	179.21061727233104
73.0	190.05146305431597
74.0	182.88944617282274
75.0	191.45987485799935
76.0	197.36589780298218
77.0	196.8745905163437
78.0	189.1291693176851
79.0	200.5179762764771
80.0	195.8179572085757
81.0	209.67989831018699
82.0	212.97437191594648
83.0	209.50673467014258
84.0	219.49175128498212
85.0	221.41926061864845
86.0	222.21913936040642
87.0	221.46902504530522
88.0	217.86721630962995
89.0	215.0908582105545
90.0	226.79331197421615
91.0	228.4403488251814
92.0	234.67380389266617
93.0	231.59543343987912
94.0	239.49939128987688
95.0	248.1026193594615
96.0	244.5501434004143
97.0	242.76707391966107
98.0	245.75539506528332
99.0	240.03750139955653
100.0	248.56101450999097
